taxonomy_category_id,category_name,chicago_anchor,anchor_similarity,category_name_original
1,Material Use Limitations,PROPER USE OF RESTRICTION AND EXCLUSION,0.337,Proper Use of Restriction and Exclusion
2,Signage and Presentation Compliance,PROPER DATE MARKING AND DISPOSITION,0.601,Proper Date Marking and Disposition
3,Prohibited Practices,PROPER USE OF RESTRICTION AND EXCLUSION,0.368,Proper Use of Restriction and Exclusion - Prohibiting Animals
4,Variance and Specialized Processing Compliance,VARIANCE OBTAINED FOR SPECIALIZED PROCESSING METHODS,0.821,Variance Obtained for Specialized Processing Methods
5,Lighting Safety Compliance,ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED,0.464,Adequate Ventilation and Lighting; Designated Areas Used
6,Juice Handling Violations,"CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY",0.443,"Contamination Prevented During Food Preparation, Storage and Display"
7,Shellfish Identification and Records,"REQUIRED RECORDS AVAILABLE: SHELLSTOCK TAGS, PARASITE DESTRUCTION",0.72,"Required Records Available: Shellstock Tags, Parasite Destruction"
8,Nutritional Information Disclosure Violations,SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC,0.45,Summary Report Displayed and Visible to the Public
9,Sodium Warning Violations,CONSUMER ADVISORY PROVIDED FOR RAW/UNDERCOOKED FOOD,0.366,Consumer Advisory Provided for Raw/Undercooked Food
10,Operational Compliance Requirements,PROPER USE OF RESTRICTION AND EXCLUSION,0.858,Proper Use of Restriction and Exclusion - (A) (B) and (C)(1)
11,Medicine and First Aid Storage,"CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY",0.487,"Contamination Prevented During Food Preparation, Storage and Display - Restriction and Storage-Medicines"
12,Employee and Management Responsibilities,"MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING",0.656,"Management, Food Employee and Conditional Employee; Knowledge, Responsibilities and Reporting"
13,Person in Charge Duties,"PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES",0.861,"Person in Charge Present, Demonstrates Knowledge, and Performs Duties"
14,Compliance and Corrections,MISCELLANEOUS / PUBLIC HEALTH ORDERS,0.649,Miscellaneous / Public Health Orders
15,Time Control for Safety,TIME AS A PUBLIC HEALTH CONTROL; PROCEDURES & RECORDS,0.957,Time as a Public Health Control; Procedures and Records
16,Water and Ice Safety,WATER & ICE FROM APPROVED SOURCE,0.829,Water and Ice From Approved Source
17,Tobacco and Smoking Regulations,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",0.368,"Proper Eating, Tasting, Drinking, or Tobacco Use"
18,Signage and Compliance Violations,COMPLIANCE WITH CLEAN INDOOR AIR ORDINANCE,0.433,Compliance With Clean Indoor Air Ordinance
19,Backflow Prevention Compliance,PLUMBING INSTALLED; PROPER BACKFLOW DEVICES,0.683,Plumbing Installed; Proper Backflow Devices
20,Pest Infestation Issues,"INSECTS, RODENTS, & ANIMALS NOT PRESENT",0.762,"Insects, Rodents, and Animals not Present"
21,Pest Control Management,"INSECTS, RODENTS, & ANIMALS NOT PRESENT",0.539,"Insects, Rodents, and Animals not Present - Controlling Pests"
22,Equipment Installation and Maintenance,"PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN",0.475,"Physical Facilities Installed, Maintained and Clean"
23,Ventilation and Lighting Compliance,ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED,0.74,Adequate Ventilation and Lighting; Designated Areas Used - Cleaning Ventilation Systems Nuisance
24,Signage Compliance Violations,REMOVAL OF SUSPENSION SIGN,0.606,Removal of Suspension Sign
25,Disposable Items and Use Restrictions,"CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY",0.493,"Contamination Prevented During Food Preparation, Storage and Display - Single service article not"
26,Allergen Awareness Compliance,ALLERGEN TRAINING AS REQUIRED,0.568,Allergen Training as Required
27,Thawing Procedures,APPROVED THAWING METHODS USED,0.821,Approved Thawing Methods Used
28,Storage and Equipment Management,"PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN",0.489,"Physical Facilities Installed, Maintained and Clean - Capacity-Quantity and Availability"
29,Structural Cleanliness and Maintenance,"PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN",0.422,"Physical Facilities Installed, Maintained and Clean - Floors Walls and Ceilings-Cleanability"
30,Water and Temperature Control,HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE,0.846,Hot and Cold Water Available; Adequate Pressure
