violation_text,city,cluster_id,taxonomy_category_id,category_name,frequency
Nonfood Contact Surfaces,boston,55,56,Surface Cleanliness and Maintenance,5724
Controlling Pests,boston,20,21,Pest Control Management,4530
Floors  Walls and Ceilings-Cleanability,boston,28,29,Structural Cleanliness and Maintenance,3472
(A) Equipment  Food-Contact Surfaces  Nonfood-Contact Surfaces  and Utensils,boston,55,56,Surface Cleanliness and Maintenance,2925
System Maintained in Good Repair,boston,42,43,Maintenance and Repair Compliance,2709
(A)(2) and (B) Time/Temperature Control for Safety Food  Hot and Cold Holding,boston,60,61,Time-Temperature Control Procedures,2503
Repairing-Premises  Structures  Attachments  and Fixtures-Methods,boston,42,43,Maintenance and Repair Compliance,2343
Packaged and Unpackaged Food-Separation  Packaging  and Segregation,boston,59,60,Contamination Prevention,2295
Cleaning Ventilation Systems  Nuisance and Discharge Prohibition,boston,22,23,Ventilation and Lighting Compliance,2219
Wiping Cloths  Use Limitation,boston,45,46,Sanitation and Cleaning Practices,2167
Food Storage Containers Identified with Common Name of Food,boston,33,34,Food Labeling Compliance,2105
Maintaining Premises  Unnecessary Items and Litter,boston,39,40,Waste Management Violations,2047
Food Storage-Preventing Contamination from the Premises,boston,59,60,Contamination Prevention,2032
(A)-(P) Person-In-Charge-Duties,boston,12,13,Person in Charge Duties,1993
Using a Handwashing Sink-Operation and Maintenance,boston,48,49,Handwashing Sink Compliance,1986
Nonfood-Contact Surfaces,boston,55,56,Surface Cleanliness and Maintenance,1967
Hand Drying Provision,boston,45,46,Sanitation and Cleaning Practices,1833
In-Use Utensils  Between-Use Storage,boston,56,57,Utensil and Equipment Storage,1780
Surface Characteristics-Indoor Areas,boston,28,29,Structural Cleanliness and Maintenance,1710
Ventilation Hood Systems  Filters,boston,22,23,Ventilation and Lighting Compliance,1708
Good Repair and Proper Adjustment-Equipment,boston,42,43,Maintenance and Repair Compliance,1663
Sanitizing Solutions  Testing Devices,boston,63,64,Warewashing and Sanitization Compliance,1470
(A) Certified Food Protection Manager,boston,57,58,Food Safety Certification,1317
Ready-To-Eat Time/Temperature Control for Safety Food  Date Marking,boston,60,61,Time-Temperature Control Procedures,1262
(B) and (C) Equipment  Food-Contact Surfaces  Nonfood-Contact Surfaces  and Utensils,boston,55,56,Surface Cleanliness and Maintenance,1240
Outer Openings  Protected,boston,34,35,Outdoor Storage and Protection,1200
Cutting Surfaces,boston,55,56,Surface Cleanliness and Maintenance,1163
Handwashing Signage,boston,23,24,Signage Compliance Violations,1126
Handwashing Cleanser  Availability,boston,48,49,Handwashing Sink Compliance,1103
Consumption of Animal Foods that are Raw  Undercooked  or Not Otherwise Processed to Eliminate Pathogens,boston,52,53,Food Safety and Preparation,1096
Miscellaneous Sources of Contamination,boston,58,59,Contamination and Chemical Hazards,1076
Effectiveness-Hair Restraints,boston,32,33,Personal Hygiene Violations,976
Clean-up of Vomiting and Diarrheal Events,boston,30,31,Food Hygiene and Sanitation,967
Manual and Mechanical Warewashing Equipment  Chemical Sanitization-Temperature  pH  Concentration and Hardness,boston,63,64,Warewashing and Sanitization Compliance,943
(A)(1) Time/Temperature Control for Safety Food  Hot and Cold Holding,boston,60,61,Time-Temperature Control Procedures,906
Temperature Measuring Devices-Functionality,boston,62,63,Temperature Measurement Compliance,889
Temperature Measuring Devices  Manual and Mechanical Warewashing,boston,63,64,Warewashing and Sanitization Compliance,879
Cleaning  Frequency and Restrictions,boston,63,64,Warewashing and Sanitization Compliance,747
Food Labels,boston,33,34,Food Labeling Compliance,745
(A)  (B) and (C)(1)  (4)-(16) Demonstration,boston,9,10,Operational Compliance Requirements,723
Removing Dead or Trapped Birds  Insects  Rodents and other Pest,boston,19,20,Pest Infestation Issues,706
Cleaning Floors  Dustless Methods,boston,45,46,Sanitation and Cleaning Practices,669
Maintaining Refuse Areas and Enclosures,boston,35,36,Waste and Drainage Management,658
Thawing,boston,26,27,Thawing Procedures,607
Shell stock  Maintaining Identification,boston,6,7,Shellfish Identification and Records,578
Common Name-Working Containers,boston,33,34,Food Labeling Compliance,577
Walls and Ceilings  Attachments,boston,28,29,Structural Cleanliness and Maintenance,566
Cooling  Heating  and Holding Capacities-Equipment,boston,37,38,Cooling and Temperature Control,519
Outside Receptacles,boston,44,45,Waste Management,515
Segregation and Location-Distressed Merchandise,boston,59,60,Contamination Prevention,512
Prohibiting Animals,boston,2,3,Prohibited Practices,511
Cleaning of Plumbing Fixtures,boston,63,64,Warewashing and Sanitization Compliance,491
Characteristics-Materials for Construction and Repair,boston,42,43,Maintenance and Repair Compliance,487
Wall and Ceiling Coverings and Coatings,boston,28,29,Structural Cleanliness and Maintenance,475
When to Wash,boston,30,31,Food Hygiene and Sanitation,469
Toilet Room Receptacle  Covered,boston,44,45,Waste Management,445
Intensity-Lighting,boston,4,5,Lighting Safety Compliance,430
Service Sink,boston,48,49,Handwashing Sink Compliance,429
Preventing Contamination from Hands,boston,59,60,Contamination Prevention,414
Sponges Use Limitation,boston,24,25,Disposable Items and Use Restrictions,413
Food-Contact Surfaces-Cleanability,boston,55,56,Surface Cleanliness and Maintenance,400
Discarding or Reconditioning Unsafe  Adulterated  or Contaminated Food,boston,53,54,Food Safety and Sanitation Violations,399
Conformance with Approved Procedures,boston,13,14,Compliance and Corrections,377
