category,difficulty,city_a,text_a,city_b,text_b,sim,in_crosswalk,reason
Thawing Procedures,easy,nyc,Thawing procedure improper.,boston,Thawing,0.6962919235229492,False,below_threshold
Non-Food Contact Surface Cleaning,easy,nyc,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",boston,Nonfood Contact Surfaces,0.6932007074356079,False,below_threshold
Thawing Procedures,easy,chicago,APPROVED THAWING METHODS USED,boston,Thawing,0.6895619630813599,False,below_threshold
Sewage / Wastewater,easy,nyc,"Sewage disposal system is not provided, improper, inadequate or unapproved.",boston,Approved Sewage Disposal System,0.6870529651641846,False,below_threshold
Hot Holding Temperature,medium,chicago,PROPER HOT HOLDING TEMPERATURES,boston,(A)(1) Time/Temperature Control for Safety Food  Hot and Cold Holding,0.677015483379364,False,below_threshold
Employee Food Handler Training,easy,nyc,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,boston,(A) Certified Food Protection Manager,0.6571663022041321,False,below_threshold
Toxic / Chemical Storage,easy,nyc,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",boston,Poisonous or Toxic Material Containers-Container Prohibitions,0.6555464863777161,False,below_threshold
Garbage / Waste Disposal,easy,nyc,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",chicago,GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED,0.6534832119941711,False,below_threshold
Food Protection / Contamination,easy,chicago,FOOD SEPARATED AND PROTECTED,boston,Food Storage-Preventing Contamination from the Premises,0.644217848777771,False,below_threshold
Proper Cooking Temperatures,easy,nyc,"Time/Temperature Control for Safety (TCS) food not cooked to required minimum internal temperature.   • Poultry, poultry parts, ground and comminuted poultry, all stuffing containing poultry, meats, fish or ratites to or above 165 °F for 15 seconds with no interruption of the cooking process   • Ground meat, and food containing ground and comminuted meat, to or above 158 °F for 15 seconds with no interruption of the cooking process, except per individual customer request  • Pork, any food containing pork to or above 150 °F for 15 seconds  • Mechanically tenderized or injected meats to or above 155 °F.  • Whole meat roasts and beef steak to or above required temperature and time except per individual customer request  • Raw animal foods cooked in microwave to or above165 °F, covered, rotated or stirred   • All other foods to or above 140 °F for 15 seconds; shell eggs to or above 145 °F for 15 seconds except per individual customer request.",chicago,PROPER COOKING TIME & TEMPERATURES,0.641258716583252,False,below_threshold
Food Protection / Contamination,easy,nyc,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",boston,Food Storage-Preventing Contamination from the Premises,0.6291805505752563,False,below_threshold
Ventilation / Lighting,medium,nyc,"Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.",chicago,ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED,0.6277559399604797,False,below_threshold
Thermometers Provided,easy,chicago,THERMOMETERS PROVIDED & ACCURATE,boston,Temperature Measuring Devices-Functionality,0.6238057017326355,False,below_threshold
Sewage / Wastewater,easy,chicago,SEWAGE & WASTE WATER PROPERLY DISPOSED,boston,Approved Sewage Disposal System,0.6183654069900513,False,below_threshold
Toxic / Chemical Storage,easy,chicago,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, & USED",boston,Poisonous or Toxic Material Containers-Container Prohibitions,0.6170709729194641,False,below_threshold
Personal Cleanliness / Hygiene,medium,nyc,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,chicago,PERSONAL CLEANLINESS,0.6165622472763062,False,below_threshold
Food Labeling,hard,chicago,FOOD PROPERLY LABELED; ORIGINAL CONTAINER,boston,Food Storage Containers Identified with Common Name of Food,0.6155750751495361,False,below_threshold
Employee Food Handler Training,easy,chicago,ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING,boston,(A) Certified Food Protection Manager,0.5959575772285461,False,below_threshold
Cold Holding Temperature,easy,chicago,PROPER COLD HOLDING TEMPERATURES,boston,(A)(2) and (B) Time/Temperature Control for Safety Food  Hot and Cold Holding,0.5910510420799255,False,below_threshold
Thermometers Provided,easy,nyc,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",boston,Temperature Measuring Devices-Functionality,0.5883128046989441,False,below_threshold
Proper Cooking Temperatures,easy,nyc,"Time/Temperature Control for Safety (TCS) food not cooked to required minimum internal temperature.   • Poultry, poultry parts, ground and comminuted poultry, all stuffing containing poultry, meats, fish or ratites to or above 165 °F for 15 seconds with no interruption of the cooking process   • Ground meat, and food containing ground and comminuted meat, to or above 158 °F for 15 seconds with no interruption of the cooking process, except per individual customer request  • Pork, any food containing pork to or above 150 °F for 15 seconds  • Mechanically tenderized or injected meats to or above 155 °F.  • Whole meat roasts and beef steak to or above required temperature and time except per individual customer request  • Raw animal foods cooked in microwave to or above165 °F, covered, rotated or stirred   • All other foods to or above 140 °F for 15 seconds; shell eggs to or above 145 °F for 15 seconds except per individual customer request.",boston,Raw Animal Foods-Cooking,0.5870965123176575,False,below_threshold
Hot Holding Temperature,medium,nyc,Hot TCS food item not held at or above 140 °F.,chicago,PROPER HOT HOLDING TEMPERATURES,0.5852081179618835,False,below_threshold
